idCarpeta,Dia,Mes,Año,Fecha,Hora,Delito,CalidadJuridica,Categoria,Colonia,Alcalia,Sexo,Edad,TipoPersona,longitud,latitud
8327848.0,1.0,Enero,2019.0,04/01/2019,0.0,ROBO DE OBJETOS,OFENDIDO,DELITO DE BAJO IMPACTO,AMADO NERVO,CUAJIMALPA DE MORELOS,Masculino,58.0,FISICA,-99.29515,19.36924
8328048.0,12.0,Diciembre,2018.0,25/12/2018,50400.0,VIOLENCIA FAMILIAR,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,LA NAVIDAD,CUAJIMALPA DE MORELOS,Femenino,50.0,FISICA,-99.28699,19.37443
8328101.0,12.0,Diciembre,2018.0,08/12/2018,54000.0,USO DE DOCUMENTO FALSO,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN MATEO TLALTENANGO,CUAJIMALPA DE MORELOS,Femenino,68.0,FISICA,-99.25956,19.34974
8328114.0,1.0,Enero,2019.0,09/01/2019,51600.0,VIOLACION,VICTIMA Y DENUNCIANTE,VIOLACIÓN,SAN MATEO TLALTENANGO,CUAJIMALPA DE MORELOS,Femenino,18.0,FISICA,-99.2935,19.33835
8328923.0,1.0,Enero,2019.0,09/01/2019,31860.0,FRAUDE,OFENDIDO,DELITO DE BAJO IMPACTO,SAN MATEO TLALTENANGO,CUAJIMALPA DE MORELOS,Femenino,47.0,FISICA,-99.30019,19.33605
8329416.0,11.0,Noviembre,2018.0,17/11/2018,60600.0,ROBO A NEGOCIO SIN VIOLENCIA,OFENDIDO,DELITO DE BAJO IMPACTO,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,,,MORAL,-99.26023,19.38939
8329669.0,12.0,Diciembre,2018.0,12/12/2018,61200.0,VIOLENCIA FAMILIAR,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN JOSÉ DE LOS CEDROS,CUAJIMALPA DE MORELOS,Femenino,27.0,FISICA,-99.28782,19.36833
8329927.0,11.0,Noviembre,2018.0,26/11/2018,64800.0,"PRODUCCIÓN, IMPRESIÓN, ENAJENACIÓN, DISTRIBUCIÓN, ALTERACIÓN O FALSIFICACIÓN DE TÍTULOS AL PORTADOR, DOCUMENTOS DE CRÉDITO PÚBLICOS O VALES DE CANJE",VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,JARDINES DE LA PALMA,CUAJIMALPA DE MORELOS,Femenino,80.0,FISICA,-99.27873,19.37324
8329927.0,11.0,Noviembre,2018.0,26/11/2018,64800.0,"PRODUCCIÓN, IMPRESIÓN, ENAJENACIÓN, DISTRIBUCIÓN, ALTERACIÓN O FALSIFICACIÓN DE TÍTULOS AL PORTADOR, DOCUMENTOS DE CRÉDITO PÚBLICOS O VALES DE CANJE",VICTIMA,DELITO DE BAJO IMPACTO,JARDINES DE LA PALMA,CUAJIMALPA DE MORELOS,Femenino,,FISICA,-99.27873,19.37324
8330327.0,12.0,Diciembre,2018.0,03/12/2018,39600.0,USURPACIÓN DE IDENTIDAD,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,LOMAS DE SANTA FE,CUAJIMALPA DE MORELOS,Masculino,,FISICA,-99.27281,19.36024
